название	цена	рейтинг_SW	год	Стилистика вина	Дегустационные характеристики	Гастрономия	Виноградники	Способ выдержки	Способ производства	История этикетки	Это интересно	регион	год	крепость	потенциал хранения	аппелласьон	категория	декантация	выдержка в емкости	подача	сладость	кислотность	танины	тело	комментарии
Вино Savigny-les-Beaune Les Goudelettes	8993.0	4.7	2019.0	красное — элегантное, комплексное, выдержанное в дубе	Красивый светло-рубиновый цвет и выразительные ароматы черных ягод, подлеска и специй. Среднетелое и комплексное во вкусе, с богатой текстурой, шелковистыми танинами и нотками миндального пирога в долгом послевкусии.	Можно порекомендовать к мясным закускам, цыпленку, телятине с овощами и мягким и полутвердым сырам.	Коммуна Савиньи-ле-Бон лежит к северу от городу Бона. Домену принадлежит 2 с небольшим га на виноградниках этой коммуны. Почвы глинисто-известковые, средний возраст лоз 30 лет.	В течение 18 месяцев в бочках из французского дуба, 15% из которых новые.	Сбор винограда вручную, длительная ферментация в дубовых бочках при контролируемых температурах.		В Савиньи-ле-Бон производят в основном красные вина, которые отличаются очень выгодным соотношением цены и качества. Они чуть более рустичные и полнотелые по сравнению с винами Бона.	Бургундия	2019	13.5%	5-8 лет.	Savigny-les-Beaune AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Мягкий сыр', 'Овощи', 'Говядина', 'Курица']	1	4	3	4	['', '', '']
Вино Sedara	2542.0	4.6	2020.0	красное — легкое, фруктовое, не выдержанное в дубе	Вино рубинового цвета. В аромате доминируют нотки черных ягод, специй и легкие минеральные оттенки. Во вкусе вино среднетелое с хорошей структурой и чистым фруктовым послевкусием.	Прекрасно в сочетании с легкими закусками под мясным соусом, всевозможными пастами, блюдами из красного мяса. Прекрасный вариант со слегка обжаренным тунцом.	Подвязка лозы по контр-шпалере, подрезка по системе кордоне сперонато. Плотность посадки 5000 лоз/га; урожайность 8,5 т/га. Почвы средней плотности.	Вино выдерживается в течение 9-ти месяцев в цементных чанах. Выдержка в бутылках минимум три месяца.	Ферментация в стальных емкостях на протяжении 10-ти дней при температуре 26-30°C. Затем проводят малолактическую ферментацию.	На этикетке вина изображено лицо женщины, идеально вписанное в пейзаж Тенуте ди Контесса Энтеллина, где и рождается это вино. Это лицо юной и очаровательной актрисы Клаудии Кардинале, сыгравшей Анжелику Седара в фильме “Леопард” Лукино Висконти. Историческая киноэпопея, снятая в 1962 году по мотивам одноименного романа князя Джузеппе Томази Ди Лампедуза - считается одной из вершин мирового киноискусств. В 1963 году на Каннском кинофестивале получил Золотую пальмовую ветвь, а в 1964 году номинирован на Оскар за лучшую работу художника по костюмам (цветные фильмы).	"Вот что говорят о нем создатели ""Наша семья делает вино больше 160 лет. Sedara мы задумали как вино для отдыха. Оно легкое, летящее, сочное — идеально под пиццу, барбекю и пасту с мясными соусами""."	Сицилия	2020	13.5%	3-4 года	Sicilia DOC	Denominazione di Origine Controllata (DOC)	не рекомендуется	Нейтральная Емкость	['Говядина', 'Паста']	2	2	4	4	['Дайте подышать… и Вы соприкоснётесь с волшебством многогранного аромата, сопровождающего утонченный вкус…. Вино завораживает… с ним хочется общаться и наслаждаться, медитировать… как в компании, так и соло….', 'Сочный богатый аромат, его надо, как дорогой парфюм, слушать.\nВкус насыщенный, яркий.', 'Вино невероятно мягкое и приятное. Самое то под мясо на природе!', 'Чудесное вино, любовь с первого глотка! Пряное, чувствуется вкус черных ягод, в меру танинное.', 'На мой субъективный взгляд, вино невнятное.   Не нашла в нем яркой ароматики и буйства вкуса.', 'Очень вкусное вино!\nНасыщенный вкус, мягкое и не кислотное', 'Хорошее вино, понравилось.', 'Слишком сильно бьёт по горлу изначально, как дешёвая хурма из супермаркета. Послевкусие да, приятное, мягкое ягодное, но это не так имеет значение на фоне такой сильной приторности, пить тяжело, не допили бутылку.', 'Хорошее вино, мягкое, ненавязчивое, питкое', 'божественное, тонкое, питкое, тонкий аромат 🙏🏻подойдет как на каждый день, так и на особенный вечер.']
Вино Sexy Beast	3493.0	4.6	2019.0	красное — мощное, насыщенное, выдержанное в дубе	Красивый пурпурно-рубиновый цвет сопровождается интенсивными ароматами черной смородины, ежевичного джема, подлеска, ментола и граната. Полнотелое, с крепкой структурой, мощными бархатистыми танинами и оттенками черных ягод и специй в долгом послевкусии.	Прекрасное сопровождение к блюдам из мяса, дичи и твердым выдержанным сырам.	Расположены в долине МакЛарен. Прохладная зима, жаркое лето и разнообразие почв создают здесь идеальные условия для виноделия.	В течение 12 месяцев в больших бочках из французского дуба, 15% из которых новые, остальные - от одногодичных до пятилетних.	Ручной сбор, ферментация и мацерация в открытых емкостях с регулярным ремонтажем 3 раза в день.	Вино из линейки Pictures. В местном климате каберне совиньон получается очень ярким и мощным, с безграничной энергией! Отсюда и название вина Sexy Beast. Создателей вдохновил одноименный культовый фильм 2000 года с Беном Кингсли в главной роли.	Долина Макларен в штате Южная Австралия — один из старейших винодельческих регионов всего континента. Здесь никогда не было филлоксеры и сохранились самые старые в мире лозы некоторым из них больше 125 лет. В регионе растут эвкалиптовые деревья, поэтому в воздухе — и даже в вине — можно уловить их особый аромат.	Южная Австралия	2019	14.1%	10-15 лет.	McLaren Vale	Australian Geographical Indications (GI)	аэрация	Бочка	['Говядина', 'Свинина', 'Выдержанный сыр']	2	2	4	4	['Вино, которое тает во рту.\r\nОно максимально сбалансированно. Если бы закрыть глаза и представить, чтобы такого хотелось в вине, во вкусе, аромате, сладости при сухом вине, то это получится именно КС от Пары рук. Нежный вкус джема из вишни и ежевики, который разбавлять корочкой дуба таким образом, что не создаёт дисбаланс. Очень круто, мощно и невероятно приятно!', 'Достойный комплимент для уважаемого человека. Ощущение отдыха и праздника в душе. Приятное послевкусие, коротое не морщит ваш нос и глаза. Мне нравится,любовь с первого глотка!', 'Роскошное вино для особенного вечера и долгих разговоров. Просто волшебно 🙌🏼', 'Супермягкое, шёлковое вино\r\nЗря девочек поят игристым и розе - вот от такой ягодно-овощной нежности не устоит ни одна настоящая энофилка', 'Очень неплохо. Джемово, интересные танины, пьётся очень мягко, перечное послевкусие. Наслаждение в каждом глотке.', 'Ароматика невероятная, но кисловато, на мой вкус.', 'Очень интересное и мягкое вино, определённо буду брать ещё', 'Шикарное, пьянящее, с аккуратными танинами, приятной плотностью, мягкой кислинкой и послевкусием табака. Если вечер для двоих, то это вино будет лучшим решением!', 'Лучший КабСав для меня!🥰', 'Одно из лучших красных вин.']
Вино Shiraz Mr Borio&apos;s	2990.0	5.0	2019.0	красное — насыщенное, пряное, выдержанное в дубе	Тёмно-рубиновый цвет с красивым блеском. Аромат с тонами спелых ягод вишни, малины, пряностей и сладких специй, оттенками цветов и дубовой бочки. Сбалансированное, структурированное вино с гладкой текстурой, сочным фруктовым вкусом, мягкими танинами, яркой кислотностью, элегантным долгим фруктово-пряным послевкусием.	Грибы, фаршированные ветчиной или беконом. Бургеры, рёбрышки или отбивные на углях. Домашние пироги с мясом, пироги с олениной, мясная пицца.	Располагаются в 50 км к востоку от Кейптауна, в Стелленбоше. Почвы выветренный гранит и песчаник. Тёплое лето, холодная зима и ветер с мыса Доктор (Cape Doctor) благоприятно влияют на процесс созревания винограда.	17 месяцев в бочках из французского дуба, из которых 15% новые, 35% третьего пассажа, 50% очень старых бочек.	Ручной сбор винограда с тщательной селекцией на винограднике. Гребнеотделение, холодное предферментационное настаивание в течение двух дней. Ферментация в стальных ёмкостях с использованием отборных дрожжей с контролируемой температурой.		В 1993 году Simonsig запустили новую программу по посадке шираза — высадили клоны из Южной Африки, Франции и Аргентины. Новые клоны созревают раньше, отличаются высоким содержанием сахара, обильным цветом и фруктовым вкусом. Для ограничения урожайности проводят “зеленый сбор” — срезают часть гроздей, когда ягоды еще не созрели. Шираз — один из любимых сортов хозяйства, виноградники Симонсиг идеально подходят для этого сорта. Мистер Борио - итальянец, близкий друг Франса Малана, принявший активное участие в становлении винодельни. Семья посвятила ему одно из своих знаковых вин.	Стелленбош	2019	13.5%	8—10 лет.	Stellenbosch WO	Wine of Origin (WO)	аэрация	Бочка	['Говядина', 'Грибы', 'Свинина']	1	3	3	3	['Очень понравился данный шираз. А с учётом цены - так, вообще, восторг!\r\n\r\nВкус в меру ягодный и слегка отдающий в сладость, что свойственно этому сорту винограда. Аромат совсем легкий, ненавязчивый.', '', '', '', '', '', '', '']
Вино Siglo Crianza	1640.0	4.4	2018.0	красное — фруктовое, среднетелое, выдержанное в дубе	Насыщенный рубиновый цвет с гранатовым оттенком. Выразительный аромат черных фруктов дополняют сладкие нотки шоколада и солодки. Элегантное во вкусе с бархатистыми танинами и спелыми красными фруктами в послевкусии.	Прекрасная пара к тушеной говядине, пасте и выдержанными сырами.	Площадь собственных виноградников оставляет 250 гектар на которых используется система капельного орошения. Климатические условия характеризуются влажной и холодной зимой и сухим и жарким летом, что позволяет оптимально вызревать винограду.	В течение 12 месяцев в дубовых бочках (50% - баррики из французского дуба, 50% - бочки из американского дуба).	Ферментация в стальных емкостях при контролируемой температуре.		Крианса — это вино с выдержкой в дубовых бочках в течение минимум одного года. В таком вине сохраняется отличный баланс сортовой свежести и оттенков выдержки. Визитная карточка Риохи — сорт темпранильо. Вина часто на 100% состоят из него, а в ассамбляжах его дополняют закадычные друзья — гарнача и грасиано. Гарнача быстрее и сильнее набирает алкоголь, поэтому дает вину тельность и пряность. Грасиано считается удачным и для ассамбляжей с темпранильо, и для моносортовых вин.	Риоха	2018	13.5%	5-7 лет.	Rioja DOCa	Denominacion de Origen Calificada (DOCa)	декантация	Бочка	[]	2	2	2	3	"['брал две бутылки в разное время: 1 показалась отличным вином, вторая - пьяным, средним вином ""на всякий случай""', 'Насыщенные ягоды (без сладости). Специи мягкие. Среднетелое. Базовое отличное вино', 'Прелые листья, чёрная смородина, табак. Вино землистое. И не кислое, не смотря на то, что сухое.\nСтоит ли оно своей цены? Скорее, нет - КБ имеет вина поинтереснее за меньшие деньги.', 'посредственная риоха', 'Среднетелое, сбалансированное, легко пьётся', 'Вино очень питкое! Приятно как под мясо, так и под сыры и фрукты.', 'Вообще самолет', 'Вполне себе', 'Очень простое', 'Простая, классическая риоха']"
Вино Solare	16992.0	5.0	2018.0	красное — мощное, насыщенное, выдержанное в дубе	Насыщенный гранатово-красный цвет. Богатый, комплексный букет с широкой гаммой ароматов, в котором тона подлеска, лесных ягод, спелой вишни гармонично дополнены нотками земли, смолы, сухих трав, нюансами ванили и кедра. Полнотелое во вкусе вино с прекрасно сбалансированной кислотностью, бархатными танинами и продолжительным послевкусием.	Прекрасно сочетается с мясом на гриле и выдержанными ароматными сырами такими, как пекорино или пармезан.	Расположены в коммуне Гайоле ин Кьянти. Общая площадь16 га.	18 месяцев во французских барриках.	Мацерация и ферментация проводятся в течение 15-20 дней в емкостях из дуба, имеющих конусовидную форму.		Хозяйство Capannelle — гений коллабораций, и вино Solare — яркий пример. Идея создать необычный бленд санджовезе и черной мальвазии возникла в 1990 году, когда хозяин винодельни Рафаэле Розетти обедал с Джорджио Пинкиорри, владельцем энотеки, отмеченной звездой Мишлен. Первый релиз вышел в свет спустя шесть лет, в 1996 году. Solare — это элегантность в каждой детали. Вино в течение года выдерживают во французских бочках, у него мягкие, почти сладкие танины и многослойный вкус, который приятно разбирать на составляющие его нюансы.	Тоскана	2018	13%	20-25 лет.	Toscana IGT	Indicazione Geografica Tipica (IGT)	декантация	Бочка	[]	1	3	5	5	['Отличное вино, особенно в форм-факторе магнума. Жаль, что больше нет']
Вино Tenuta Regaleali Cygnus	4290.0	4.5	2019.0	красное — элегантное, комплексное, выдержанное в дубе	Грациозный темно-красный цвет сопровождают выразительные ароматы смородины, ежевики, вишни, мяты, фиалки и специй. Среднетелое, элегантное и хорошо структурированное во вкусе, с деликатными танинами, фруктовым характером и сладковатыми нотками в долгом послевкусии.	Хорошо сочетается с говядиной под перечным соусом, бараниной на гриле, ягненком на косточке, олениной и выдержанными сырами.	Расположены в хозяйстве Регалеали в окрестностях Палермо. Форма куста гюйо, кордон. Плотность посадки 4000 лоз/га. Урожайность 54 гл/га.	В течение 14 месяцев во французских барриках, 30% из которых новые, остальные двух- и трехгодичные.	Ферментацией в нейтральных емкостях при температуре 28 градусов, малолактика проводилась.	"Название ""Чинюс"" (в переводе с итал. ""лебедь"") кюве получило от виноградника, расположенного вблизи искусственного озера с живущими на нем лебедями."	Виноградники семьи Таска расположены в разных частях Сицилии, включая маленький соседний остров Салина и северный склон Этны — действующего вулкана. На всех участках практикуют ручной сбор винограда, обращаясь к помощи машин только в экстренных случаях. По этой причине уборка урожая растягивается почти на сто дней — с середины августа до ноября.	Сицилия	2019	14%	10-15 лет.	Sicilia DOC	Denominazione di Origine Controllata (DOC)	аэрация	Бочка	['Говядина', 'Оленина', 'Ягненок', 'Выдержанный сыр']	2	2	4	4	['Отличное , за свои деньги так и вовсе прекрасное, плотное, ароматное, танинное. температура подачи очень важна, даже больше чем подышать', 'Достаточно спиртуозное, мощное вино. Однозначно декантировать, тогда вино порадует ягодным послевкусием', 'После 2-х часов декантации, восторг!', 'Очень понравилось', 'Аромат несложный, простой. Без ярких раскрытий вкуса. Фруктовый приятный, отличный выбор на любой вечер в приятной беседе.', 'Яркое, подойдёт тем, кто любит терпкость, вяжущее', 'Букет слабый. как дополнение к мясу пойдёт.', 'Дерзковато. Но в общем, неплохо', 'Немного суховато, но в целом очень неплохо', 'хорошее танинное полнотелое']
Вино Tenuta Regaleali Cygnus	9767.0	5.0	2018.0	красное — элегантное, комплексное, выдержанное в дубе	Грациозный темно-красный цвет сопровождают выразительные ароматы смородины, ежевики, вишни, мяты, фиалки и специй. Среднетелое, элегантное и хорошо структурированное во вкусе, с деликатными танинами, фруктовым характером и сладковатыми нотками в долгом послевкусии.	Хорошо сочетается с говядиной под перечным соусом, бараниной на гриле, ягненком на косточке, олениной и выдержанными сырами.	Расположены в хозяйстве Регалеали в окрестностях Палермо. Форма куста гюйо, кордон. Плотность посадки 4000 лоз/га. Урожайность 54 гл/га.	14 месяцев во французских барриках, 30% из которых новые, остальные двух- и трехгодичные.	Ферментацией в нейтральных емкостях при температуре 28 градусов, малолактика проводилась.	"Название ""Чинюс"" (в переводе с итал. ""лебедь"") кюве получило от виноградника, расположенного вблизи искусственного озера с живущими на нем лебедями."	В поместье Tasca постоянно занимаются исследованиями и экспериментами проводят селекцию клонов и ежегодно высаживают новые лозы, на виноградниках сравнивают сорта со всего света (итальянские, греческие, испанские, французские и т.д.) и испытывают новые подвои. Для защиты от сирокко, горячего и сухого ветра,  создали четыре искусственных озера — они спасают виноградники во время жаркого сицилийского лета.	Сицилия	2018	13.5%	10-15 лет.	Sicilia DOC	Denominazione di Origine Controllata (DOC)	аэрация	Бочка	[]	2	2	4	4	['']
Вино UNA Pinot Noir	2140.0	4.2	2020.0	красное — фруктовое, среднетелое, с непродолжительной выдержкой в дубе	Темно-вишневый цвет. Аромат раскрывается тонами клубники, спелой ежевики, черники и легкими оттенками специй. Приятное, сбалансированное вино с тонами спелых ягод во вкусе, приятными танинами и фруктово-минеральным послевкусием.	Сочетать с мясными закусками (прошутто, хамон), мясными пастами, мясом на гриле, блюдами из утки или индейки.	Виноград выращен на 89 га собственных и 32 га контрактных виноградников, расположенных в недалеко от границ с Венгрией, на песчаных берегах озера Нойзидлерзее. Эта местность отличается более теплым микроклиматом. Хозяйство практикует методы природосообразного виноградарства (sustainable), отказавшись от применения химических удобрений.	Непродолжительная выдержка в дубовых бочках (500л).	Ферментация проводится в стальных емкостях и непродолжительная выдержка в дубовых бочках (500л). Для оклейки используют только растительный белок.	Этикетки для вин UNA создала дизайнер Сабина Басиста. Каждый сорт выделен отдельным цветом, а основной графический элемент представляет собой коллекцию винных бутылок различных форм и размеров, нарисованных карандашом или тушью. Но Саина подарила винам не только этикетки — она дала бренду имя своей дочери Уны. “Именно поэтому эта коллекция так дорога нашему сердцу” — говорят виноделы.	На месте Австрии миллионы лет назад было море. От него остались известняки, к которым пино нуар питает слабость, и подходящий для него климат. Этот сорт здесь называют блаубургундер — “синий бургундский”.	Бургенланд	2020	13.5%	8-10 лет.	Burgenland	Qualitatswein	аэрация	Бочка	['Утка', 'Говядина']	1	4	2	3	['Был приятно удивлен австрийским вином)))', 'В целом не плохой, но и не запоминающийся нуар', 'Не могу сказать, что сильно понравилось. Аромат хороший, на вкус пустовато. Может это особенности сорта', 'Австрия, 2020, пино нуар \r\nБиодинамическое производство.  \r\nНадо подышать . Лёгкие ягоды . \r\nВкус быстро уходит. Такое базовое.  \r\nПодавалось с луковыми кольцами и джемом \r\nSimplewine 1500 руб', 'За 1.4к очень хорошо', 'Норм, за 1,5к', 'Для Австрии очень приличный пино нуар', 'Невероятно ароматный пино нуар из Австрии. С хорошей структурой, балансом и приятным терпким послевкусием после ягодного взрыва первых нот.', 'Хорошее элегантное вино. Браво австрийским виноделам!', 'Неплохо']
Вино Valpolicella Classico Superiore Ripasso La Casetta	1995.0	4.7	2018.0	красное — яркое фруктовое, с хорошей кислотностью, выдержанное в дубе.	Вино насыщенного темно-вишневого цвета c легким фиолетовым оттенком и комплексным ароматом, в котором раскрываются нотки спелой вишни, ягод, фиалки и специй. Великолепно сбалансированное, полнотелое, гармоничное с бархатными танинами во вкусе и приятным устойчивым послевкусием с тонами ягод и специй.	Хорошо сочетается с мясными закусками, блюдами из говядины, телятины и свинины под ягодным соусом, сырами средней выдержки.	"""Ла Казетта"" расположен в комунне Неграр на холмах  высотой 230-270 м над уровнем моря. Почвы известняковые и глинистые. Экспозиция западная. Средний возраст лоз 15 лет. Система ведения виноградной лозы двойная пергола."	В течение 18 месяцев в дубовых бочках.	Ручной сбор, ферментация в нейтральных емкостях. В феврале следующего за урожаем года проводят вторичную ферментацию, добавляя мезгу, которая осталась от Амароне Виньети ди Яго. Малолактика проводилась.	"Название марки напоминает о временах расцвета Венецианской Республики. Этот ""Золотой век"" отражен в качестве и образе вин Domini Veneti, через которые хозяйство стремится предложить всему миру вкус лучшего вина из Венето."	Корвина веронезе и рондинелла — в переводе с итальянского «ворон» и «ласточка». Корвина — звезда Вероны, названная именем региона, придает вину танинную структуру и нежные фруктовые (в основном вишневые) тона. Рондинелла — второй по важности сорт красного винограда в Вальполичелле — обладает деликатным ароматом и не слишком интенсивным вкусом.	Венето	2018	14%	12-15 лет.	Valpolicella Classico DOC	Denominazione di Origine Controllata (DOC)	аэрация	Бочка	['Свинина', 'Говядина', 'Выдержанный сыр']	2	3	4	4	['Хорошо сбалансированное вино, неудивительно что его считают младшим братом Амароне) в запахе преобладают ягодные нотки. Очень интересный цвет вина с рубиновым оттенком. На вкус умеренная терпкость и еле различимая кислинка, черные ягоды, вишня, кора дуба, специи.\r\nP.S. по акционной цене было вдвойне приятно.', 'Очень концентрированный аромат, дым. вишня, кожа. Медовое послевкусие. Дайте ему подышать в течении часа. Великолепное вино.', 'Интенсивный аромат. Танины идеально сбалансированы. Слегка сладкое. Превосходное вино на приятный вечер!', 'Вероятно, лучшее на рынке', 'С Рипассо все обычно сложно, ввиду выдержки на остатках с барского стола Амароне. Это вино изысканное, сохраняя бодрость, ягодность и свежесть Вальполичеллы, оно смогло вобрать пряности и добавила в теле.', 'Очень хорошее вино. Под хороший ужин.', 'Приятное вино к званому ужину.', 'Спелые красные фрукты, шоколад, табак и дым в ароматике. Мягкие танины. Вкусное вино.', 'Приглушенный аромат ванили и сильные землистые ноты. Достаточно сухое на языке.', 'Это прекрасное сочное вино, насыщенное и бархатистое. Фаворит определённо!']
Вино Valpolicella Ripasso Valpantena в подарочной упаковке	6197.0	4.0	2020.0	красное — фруктовое, среднетелое, выдержанное в дубе	Яркий рубиновый цвет с пурпурным оттенком. Интенсивный аромат с тонами спелых красных фруктов, нотами ежевики, черной смородины и пряностей. Бархатное, округлое и хорошо сбалансированное во вкусе вино с сочным фруктовым послевкусием.	Рекомендуется подавать к пасте болоньезе, ризотто с грибами, мясу, приготовленному на гриле, и к сырам средней выдержки.	Расположены в сердце зоны Вальполичелла и на территории Вальпантены. Почвы известняково-мергелевые и частично вулканические с высоким содержанием железа. Плотность посадки 5000 лоз/га.	9 месяцев  во французских дубовых баррелях объемом 750 л.	Ручной сбор винограда в конце сентября. Первая ферментация проводится  в широких и неглубоких стальных емкостях, способствующих более интенсивной мацерации и позволяющих ограничить механическое вмешательство в процесс. После этого в марте в вино добавляют жмых из-под Амароне и начинается вторая ферментация (метод рипассо).		«Bertani не просто винодельня, это целая философия. Все вина на 100% обладают sense of place. Это значит, что когда ты пробуешь вальполичеллу, амароне или рипассо, ты будто переносишься в Венето» — слова Стефано Маджаротти, коммерческого директора Bertani.	Венето	2020	13.5%	7—10 лет.	Ripasso Valpolicella DOC	Denominazione di Origine Controllata (DOC)	аэрация	Бочка	['Ризотто', 'Паста', 'Сыр']	1	3	3	4	['Рипассо добротного среднего уровня от именитого производителя.', '']
Вино Vieux Chateau du Terme	2290.0	4.6	2020.0	красное — фруктовое, среднетелое, выдержанное в дубе	Красивый рубиновый цвет и интенсивный аромат с тонами красных ягод, мокко, ванильными и пряными нотками. Среднетелое, с хорошо сбалансированной структурой, мягкими танинами и бархатистым послевкусием с оттенком темного шоколада.	Можно порекомендовать к колбасным изделиям, свинине и ягненку на гриле и сырам средней выдержки.	14 га расположены в коммуне Ламарк в самом сердце аппелласьона О-Медок.	В течение 12 месяцев в барриках, 25% из которых новые.	Традиционная ферментация и мацерация в течение 2-4-х недель в термоконтролируемых емкостях из нержавеющей стали.		"Это поместье является одним из ключевых в ""Коллекции Замков"" Мезона Буэ, объединяющей самые знаковые имена правого и левого берегов."	Бордо	2020	13%	7-10 лет.	Haut-Medoc AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	[]	1	3	4	3	"['Ароматика довольно слабая. Во вкусе ноты ягод и крем-брюле.', 'Не ожидал такого вкуса, одно из моих любимых вин, пряно-гранатовый оттенок, очень приличное!', 'Одно из моих любимых вин. Попробовав раз, пью и сейчас:)', 'Понравилось. Мягкая Франция с хорошим балансом танинов и кислотности. Мне хорошо пошло и без сопровождения, хотя начало было под стейки)', 'Слаткий сироп, с жидкостью для заполнения конфет, я думаю это тупо подделка', 'Молодое Бордо с неклассическим купажом (добавлен пти вердо и мальбек для насыщенности но вместе не более 10%, вместо каберне фран). При аэрировании в декантере от 45 мин становится вполне приятным ненавязчивым вином ""на каждый день"". Мягкие танины и низкая кислотность.', 'Среднее вино, не очень сбалансированное.', 'Очень насыщенное', 'Думаю отличное красное за свои деньги,  хороший баланс кислотности, танины действительно шелковистые. Пробовал вместе с курицей на гриле, мне понравилось!', '']"
Вино Villa de Corullon	8990.0	5.0	2019.0	красное — элегантное, насыщенное, выдержанное в дубе	Глубокий рубиновый цвет с фиолетовым блеском. Многогранный букет с тонами ежевики, дикой вишни, фиалки, дубовой коры, какао и специй. Вкус мощный и сбалансированный, свежее с выразительными танинами.	Подавать к блюдам из дичи под грибным соусом, тушеной с травами баранине, твёрдым овечьим сырам.	Около 90 маленьких собственных участков у городка Корульон. Высота над уровнем моря от 500 до 990 м. Общая площадь 23.3 га.	15 месяцев в новых французских барриках.	Ферментация в маленьких открытых дубовых бочонках. Малолактическая ферментация 2 месяца в дубовых чанах объёмом 15 гл.		Вино названо в честь древнего городка Корульон. Давным-давно через него проходила дорога в Компостеллу, к могиле апостола Иакова для Европы того времени это было куда важнее, чем автотрасса «Париж—Мадрид» для нынешней. Дорога «Святого Иакова Компостельского» существует поныне, проходя прямо напротив бодеги Паласиосов.	Кастилия и Леон	2019	13.5%	10-15 лет	Bierzo DO	Denominacion de Origen (DO)	декантация	Бочка	['Грибы', 'Ягненок', 'Утка', 'Сыр']	1	4	4	4	['Божественная менсия! Крайне рекомендую', 'Сладкие специи, ваниль, шоколад, элегантный дуб. Сухие приятные танины.', '', '', '', '', '']
Вино Volnay Premier Cru Taillepieds	21490.0	5.0	2014.0	красное — элегантное, комплексное, выдержанное в дубе	Глубокий рубиново-красный цвет сопровождается спелыми ароматами черной вишни, горького шоколада, мяты и ментола. Роскошное, хорошо сложенное и обволакивающее во вкусе, с широкой текстурой, крепкими танинами, оттенками специй и дуба в долгом послевкусии.	Отлично сочетается с блюдами из белого мяса, домашней птицы и пернатой дичи.	Площадь 1,1 га в собственности семьи Бушар. Почвы известняк и мергель.	Проводится в дубовых бочках (60-85% новых) в течение 10-18 месяцев.	Сбор винограда осуществляется вручную. Проводится двойной триаж (сортировка ягод). Ферментация проходит в маленьких емкостях из нержавеющей стали при строго контролируемой температуре.		"Taillepieds (Тайпье) — участок на высоком склоне с примесями острой гальки в почвах. Существует версия, что слово переводится как “порезанные ноги” когда крестьяне собирали здесь виноград, они рвали свои ботинки о камни. Для Bouchard Pere &amp; Fils Вольне — очень важная коммуна, потому что виноградник Тайпье стал вторым их купленным виноградником, с него в том числе начала их история как домена.
Вина коммуны Вольне (Volnay) популярны уже 800 лет. Существует легенда, что один из королей Франции приказал все производимые в Вольне вина подавать исключительно к королевскому столу!"	Бургундия	2014	13%	15-20 лет.	Volnay 1-er Cru AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Курица', 'Свинина']	1	4	4	5	['', '']
